operation_name,machine_name,machine_version
D13,Resin Bond Blade,PG Series
F7,Resin Bond Blade,PG Series
B14,Resin Bond Blade,PG Series
D8,Resin Bond Blade,PG Series
D7,Resin Bond Blade,PG Series
F18,Resin Bond Blade,GC series
B3,Resin Bond Blade,GC series
D5,Resin Bond Blade,GC series
D18,Resin Bond Blade,GC series
C4,Nickel Bond Blades,DS type
C5,Nickel Bond Blades,DS type
F4,Nickel Bond Blades,MN HALF SLIT type
C4,Nickel Bond Blades,MN type
F15,Nickel Bond Blades,MN type
B8,Nickel Bond Blades,MN type
F8,Nickel Bond Blades,MN type
E2,Nickel Bond Blades,MN type
C2,Metal Bond Blades,HM Series
F17,Metal Bond Blades,HM Series
D2,Metal Bond Blades,HM Series
B2,Metal Bond Blades,HM Series
B9,Metal Bond Blades,YM/AM Series
F15,Metal Bond Blades,YM/AM Series
B6,Metal Bond Blades,GM Series
F8,Metal Bond Blades,GM Series
D20,Metal Bond Blades,GM Series
D1,Hub Type Blades,FTB/CCB series
F14,Hub Type Blades,FTB/CCB series
D19,Hub Type Blades,FTB/CCB series
F9,Ultra Hard Metal Saws,
D7,Ultra Hard Metal Saws,
F2,Ultra Hard Metal Saws,
F11,Dressing Plate,
F5,Dicing Machine,AD3000T-PLUS
C7,Dicing Machine,AD3000T-PLUS
G8,Dicing Machine,AD3000T-HC PLUS
A2,Dicing Machine,AD3000T-HC PLUS
C3,Dicing Machine,AD2000T/S
D14,Dicing Machine,AD2000T/S
E1,Dicing Machine,AD2000T/S
E5,Dicing Machine,AD2000T/S
D5,Dicing Machine,AD2000T/S
D9,Dicing Machine,AD20T/S
B4,Dicing Machine,AD20T/S
C4,Dicing Machine,AD20T/S
D8,Dicing Machine,AD20T/S
C7,Dicing Machine,AD20T/S
G4,Dicing Machine,SS10
G7,Dicing Machine,SS10
E4,Dicing Machine,SS10
F9,Dicing Machine,SS10
G4,Dicing Machine,SS20
D7,Dicing Machine,SS20
C3,Dicing Machine,SS20
F17,Dicing Machine,SS20
E4,Dicing Machine,SS20
A2,Dicing Machine,SS30
C1,Dicing Machine,SS30
C4,Dicing Machine,SS30
E8,Singulation Machine,PS300
B16,Singulation Machine,PS300
D14,Singulation Machine,PS300
G3,Singulation Machine,PS300
D19,Singulation Machine,PS300
F15,Laser Dicing Machine,ML301EXWH
B4,Laser Dicing Machine,ML301EXWH
C8,Laser Dicing Machine,ML301EXWH
F10,Laser Dicing Machine,ML301EXWH
F18,Automatic Cleaning System,A-CS-300
E2,Automatic Cleaning System,A-CS-300
E4,Automatic Cleaning System,A-CS-300
A1,Automatic Cleaning System,A-CS-300
D4,Automatic Cleaning System,A-CS-300
A3,Ablation laser dicing machine for plasma dicing,AL300P
D14,Ablation laser dicing machine for plasma dicing,AL300P
F1,Ablation laser dicing machine for plasma dicing,AL300P
B10,Ablation laser dicing machine for plasma dicing,AL300P
F1,Probing Machine,AP3000/AP3000e
B8,Probing Machine,AP3000/AP3000e
E4,Probing Machine,AP3000/AP3000e
G8,Probing Machine,AP3000/AP3000e
F18,Probing Machine,AP3000/AP3000e
C5,Probing Machine,FP3000
C4,Probing Machine,FP3000
G5,Probing Machine,UF3000LX
G2,Probing Machine,UF2000
A3,Probing Machine,UF2000
F15,Probing Machine,UF200R
C9,Probing Machine,UF200R
E7,Probing Machine,UF190R
B12,Probing Machine,UF190R
D6,Probing Machine,UF190R
G6,Probing Machine,UF190R
C4,Probing Machine,FP2000
F12,Probing Machine,FP2000
C2,Probing Machine,FP2000
F10,Probing Machine,FP2000
B15,Probing Machine,FP2000
D17,Probing Machine,AltaProv
D1,Probing Machine,AltaProv
G1,Probing Machine,AltaProv
B3,Probing Machine,AltaProv
G6,Probing Machine,AltaProv
B11,Probing Machines Network,VEGANET
B5,Probing Machines Network,VEGANET
F14,Probing Machines Network,VEGANET
A4,Probing Machines Network,VEGANET
F11,Probing Machines Network,VEGANET
G6,Probing Machines Network,LIGHTVEGA
D5,Probing Machines Network,LIGHTVEGA
A2,Probing Machines Network,GEM Network System
D12,Probing Machines Network,GEM Network System
D17,Probing Machines Network,GEM Network System
C7,Probing Machines Network,VEGA PLANET
D11,Probing Machines Network,VEGA PLANET
B6,Probing Machines Network,VEGA PLANET
E6,Probing Machines Network,VEGA PLANET
B12,Polish Grinder,PG3000RMX
A3,Polish Grinder,PG3000RMX
B4,Polish Grinder,PG3000RMX
F17,High Rigid Grinder,HRG3000RMX
E2,High Rigid Grinder,HRG3000RMX
G6,High Rigid Grinder,HRG300/HRG300A
F12,High Rigid Grinder,HRG300/HRG300A
C5,High Rigid Grinder,HRG300/HRG300A
D14,High Rigid Grinder,HRG300/HRG300A
D4,Fully Automatic High Rigid Twin Axis Grinder,HRG200X
G5,Fully Automatic High Rigid Twin Axis Grinder,HRG200X
D17,ChaMP,For 300 mm Wafers
D8,ChaMP,Compact CMP System
E2,ChaMP,Compact CMP System
B4,ChaMP,Compact CMP System
F18,ChaMP,Compact CMP System
F3,ChaMP,Compact CMP System
G3,Wafer Edge Grinding machine,W-GM-4200
D21,Wafer Edge Grinding machine,W-GM-4200
G2,Wafer Edge Grinding machine,W-GM-4200
D8,Wafer Edge Grinding machine,W-GM-5200
F10,Wafer Edge Grinding machine,W-GM-5200
C6,Wafer Edge Grinding machine,W-GM-5200
