operation_name,chip_name,chip_version,order
B13,5C90X,1,0
A1,5C90X,1,1
G5,5C90X,1,2
B7,5C90X,1,3
A4,5C90X,1,4
D21,5C90X,1,5
F14,5C90X,1,6
G7,5C90X,1,7
B15,5C90X,1,8
C9,5C90X,2,0
D2,5C90X,2,1
C8,5C90X,2,2
B11,5C90X,2,3
D19,5C90X,2,4
B6,5C90X,3,0
B4,5C90X,3,1
D2,5C90X,3,2
A2,5C90X,3,3
E8,5C90X,3,4
C1,5C90X,3,5
D8,68vWl,1,0
A2,68vWl,1,1
B1,68vWl,1,2
F1,68vWl,1,3
G7,68vWl,2,0
D11,68vWl,2,1
E8,68vWl,2,2
D5,68vWl,2,3
D9,68vWl,2,4
B1,68vWl,2,5
F15,7MiXM,1,0
B4,7MiXM,1,1
D3,7MiXM,1,2
G8,84YQj,1,0
B13,84YQj,1,1
G2,84YQj,1,2
F6,84YQj,1,3
E8,84YQj,1,4
F13,84YQj,1,5
D10,84YQj,2,0
D17,84YQj,2,1
C8,84YQj,2,2
F12,84YQj,2,3
D5,84YQj,2,4
D15,84YQj,2,5
F10,84YQj,2,6
B14,84YQj,2,7
D4,84YQj,2,8
F9,8ZQ5B,1,0
D15,8ZQ5B,1,1
G8,8ZQ5B,1,2
D1,8ZQ5B,1,3
D11,8ZQ5B,1,4
B13,8ZQ5B,1,5
A4,8ZQ5B,1,6
F12,8ZQ5B,1,7
B8,8ZQ5B,1,8
D8,8ZQ5B,1,9
B12,9pnko,1,0
D11,9pnko,1,1
C7,9pnko,1,2
D18,9pnko,1,3
F6,9pnko,1,4
D7,9pnko,1,5
D8,9pnko,1,6
C6,9pnko,1,7
A3,9pnko,1,8
F3,9pnko,1,9
B2,A1gQu,1,0
F5,A1gQu,1,1
F18,A1gQu,1,2
B11,A1gQu,1,3
D13,A1gQu,1,4
D8,A1gQu,1,5
D9,A1gQu,1,6
D3,Bs8ME,1,0
D15,Bs8ME,1,1
F17,Bs8ME,1,2
D20,Bs8ME,1,3
D18,Bs8ME,1,4
D13,Bs8ME,1,5
D7,Bs8ME,1,6
F8,Bs8ME,1,7
E7,Bs8ME,1,8
C2,Bs8ME,1,9
B2,Bs8ME,2,0
C5,Bs8ME,2,1
F2,Bs8ME,2,2
F10,Bs8ME,2,3
F15,Bs8ME,2,4
B9,Bs8ME,2,5
F6,Bs8ME,2,6
D2,Bs8ME,2,7
D18,Bs8ME,2,8
D8,Bs8ME,2,9
A4,Bs8ME,3,0
F1,Bs8ME,3,1
G8,Bs8ME,3,2
D5,Bs8ME,3,3
E1,Bs8ME,3,4
G6,FrGg0,1,0
F8,FrGg0,1,1
D8,FrGg0,1,2
G8,FrGg0,1,3
B2,FrGg0,1,4
G5,FrGg0,1,5
F3,FrGg0,1,6
C8,FrGg0,1,7
C6,Iwfqf,1,0
A2,Iwfqf,1,1
B12,Iwfqf,1,2
B8,Iwfqf,1,3
C8,Iwfqf,1,4
D10,K0dht,1,0
F9,K0dht,1,1
F17,K0dht,1,2
D13,K0dht,1,3
A4,K0dht,1,4
F14,M0od7,1,0
C9,M0od7,1,1
B12,M0od7,1,2
C3,M0od7,1,3
E3,M0od7,1,4
F18,M0od7,1,5
F16,M0od7,1,6
G2,M0od7,1,7
E8,M0od7,1,8
F1,Ot8dU,1,0
C7,Ot8dU,1,1
C8,Ot8dU,1,2
E7,Ot8dU,1,3
D18,Ot8dU,1,4
D16,Ot8dU,2,0
B4,Ot8dU,2,1
D12,Ot8dU,2,2
A3,Ot8dU,2,3
C9,PfgKA,1,0
D16,PfgKA,1,1
C8,PfgKA,2,0
B14,PfgKA,2,1
B2,PfgKA,2,2
F13,PfgKA,2,3
E8,PfgKA,2,4
F12,PfgKA,3,0
F8,PfgKA,3,1
D8,PfgKA,3,2
G5,PfgKA,3,3
D21,PfgKA,3,4
A3,PfgKA,3,5
D10,Rykzt,1,0
G8,Rykzt,1,1
B11,Rykzt,1,2
E3,Rykzt,1,3
A3,Rykzt,1,4
D11,ViKLK,1,0
F7,ViKLK,1,1
E6,ViKLK,1,2
D19,ViKLK,1,3
B3,hj1da,1,0
B8,hj1da,1,1
B2,hj1da,1,2
D16,hj1da,1,3
G1,hj1da,1,4
F10,hj1da,1,5
C1,hj1da,2,0
A2,hj1da,2,1
B10,hj1da,2,2
G2,hj1da,2,3
E3,hj1da,2,4
A1,hj1da,2,5
B12,hj1da,2,6
B5,hj1da,2,7
E2,hj1da,2,8
G2,iNCHY,1,0
G8,iNCHY,1,1
E2,iUjh6,1,0
G7,iUjh6,1,1
F18,iUjh6,1,2
D21,iUjh6,2,0
D19,iUjh6,2,1
B6,iUjh6,2,2
B8,iUjh6,2,3
F17,iUjh6,2,4
E2,iUjh6,2,5
D3,iUjh6,2,6
D8,iUjh6,2,7
F12,iUjh6,2,8
D6,iUjh6,2,9
C3,iUjh6,3,0
D20,iUjh6,3,1
C7,iUjh6,3,2
B2,iUjh6,3,3
F11,iUjh6,3,4
B11,iUjh6,3,5
F11,kKysY,1,0
F3,kKysY,1,1
E4,kKysY,2,0
D9,kKysY,2,1
C2,kKysY,2,2
D2,kKysY,2,3
B7,kKysY,2,4
G5,kKysY,2,5
G2,kKysY,2,6
B16,kKysY,2,7
F12,kKysY,2,8
B9,kKysY,2,9
D3,kKysY,3,0
F1,kKysY,3,1
D15,kKysY,3,2
E3,kKysY,3,3
D16,mX1eP,1,0
F6,mX1eP,1,1
E6,mX1eP,1,2
B12,mX1eP,1,3
C9,mX1eP,1,4
D8,mX1eP,1,5
F15,o3kBX,1,0
F1,o3kBX,1,1
B11,o3kBX,1,2
D8,o3kBX,1,3
A1,o3kBX,1,4
F6,o3kBX,1,5
C7,o3kBX,1,6
D18,uwoxw,1,0
F6,uwoxw,1,1
G7,uwoxw,1,2
C5,uwoxw,1,3
F12,uwoxw,1,4
B15,uwoxw,1,5
C8,xouQv,1,0
D5,xouQv,1,1
D20,xouQv,1,2
F5,xouQv,1,3
F11,xouQv,1,4
B11,yu4pS,1,0
B13,yu4pS,1,1
F10,yu4pS,1,2
F13,yu4pS,1,3
B14,yu4pS,1,4
A2,yu4pS,1,5
G4,yu4pS,2,0
E5,yu4pS,2,1
B14,yu4pS,2,2
D20,yu4pS,2,3
D8,yu4pS,2,4
